symbol,source,headline,link,published_at
HDFCBANK.NS,Google News,"HDFC Bank's Rs 1000 Puts Surge with 6,670 Contracts Traded, Open Interest at 2,420 - Markets Mojo",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQNUlLLUNVT3VXNERia2VmWGdZX1Qxa1AyaVRHUHFYWFB4UWh6SC1DZTV5a0c3a2g5ZjVTVGpjTjFzWkVvUk0tZmpaTVY4aVlJZWpDZlZXOFRiVXJKNGxoSXU1NGtER3g0cEZRcWViQU5DbjVhVXRqY1kyLWlZVnVZY2pHR05kR1plZWI0WFgtM2JqVWo0WFdfeXR4RDN6dld0NkNBYUdpUkJ0aVFYdEtCYm5lcnBoNUJaczhBTFlkRjNFamp4VFBuLVI0czhDLVNIc2c?oc=5,2025-10-29 05:56:31
HDFCBANK.NS,Google News,HDFC Bank Ltd. Surges to Rs 298.80 Crore in Trading Value Today - Markets Mojo,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOaGFBM19wU2JFT0dhQmU2cEhWaGFFbE84TXR5TERrcUQ5ZXhpN1I5U1NkMnFFcFU5RmhVOUhfUDBwVFdVamlyeWpfNFRnZFVWWjhuTFZadTd5bHRhcjdudUhNbl9kd0Rxc2Vla0NHb3lTWUNscUhzeVdkVUpSOHF5XzVGLU41eHFnczRjUTl0Y0FsN3YydnQ2eXN1czBkZ2Z6Z21oQWNzT0dydGxKNkdjaEdhc0Z6S29vZXpz?oc=5,2025-10-29 05:29:37
ICICIBANK.NS,Google News,ICICI Bank Sees 17.79% Surge in Open Interest Amid Increased Trading Activity - Markets Mojo,https://news.google.com/rss/articles/CBMizgFBVV95cUxQVTVzOENCM2lCOE5XeW1hekllNHZuRGpXZVgyM08wUUZDaDBKSXRseDFtZGhPQU5FemVlMFJ0aXpNSEhNaF9jelBWQkVITEkzQzJXb2dkNVRvSXk5andJRHVVeElyUGd5aEdvcDEwOUlzWFBTS1NNRmhjY015QXViV0toNXB5dHZHaVJ4bHp5WFZLUzV4WkFLUER4Y2FMVGtGcXpIbWZZRWw2cnIteE5CMWNoYkViSFBZaFBsRG1iT0U4N1NyYks1TUNRX1NhZw?oc=5,2025-10-29 10:17:23
ICICIBANK.NS,Google News,"ICICI Bank Allots Over 736,000 Shares Under Employee Stock Option Scheme - TipRanks",https://news.google.com/rss/articles/CBMiwAFBVV95cUxOSTA4d3NCUWFUS3NVbkd1XzZpZ2VFeUxRaFJzNkhKTmhnd0NlaFE4SGpJRDhVY1NrVEljWkc1NW10VjFyWGdLOWJqUW95R25ZX0pqN2NoMXlrdGd0Q0UxSDBuVUpaZ0RxMl9icXBCa2F4TGxmenFEbjYzdWVoc0lRcE1LXy1xdndzaVVlNEFoVF9GR0tnOC1mckMxVUljWmlmOEE0RWZrdVJBTURKd21nU2VuSWVtWG5QY1lRd2g1cnk?oc=5,2025-10-29 05:44:12
ICICIBANK.NS,Google News,ICICI Bank Faces Mixed Technical Trends Amid Recent Stock Fluctuations - Markets Mojo,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPX3BZNXFZTmdleDhQc0dmMGZyaVNhOGZqaGpyMnJPeE1OU3o0ZEw5ZVBjd2FBSnp3R2RlYUJLZXFNY19zcWhUZ3RpcjhqamJRZzJhWkh5dFJjU3ZWVnpzUVUzbldmUnBMdE1pOGJ3RjgwYkQwVWxDMzNUYUNqaVVCLWN1RTczX0V3S3c3LXlqd0xCZ2hlemNqTWJtdV9nc1RtR3g3THowdVRwaEI0ejhnNWVzeTl0aHVOYkpDLWhfVDBtR2hQNzBoRzAxcVctbWwtT05rWHpLSE1MeFZSU3NRWjRUMA?oc=5,2025-10-29 03:15:17
ICICIBANK.NS,Google News,"ICICI Bank Sees 17.79% Surge in Open Interest, Reaching 303,235 Contracts - Markets Mojo",https://news.google.com/rss/articles/CBMixgFBVV95cUxPTkNGa3ZySFZlSnpFVGtVUWktNzVZRFRvLVluZXFvUmhwM2FBZ2hhV0hBaGdhRzNNOU5fNjVabFZHT0RvdTBXTl8xbmE2RVVtcFdyeHB5OG5IRS1hUW9rVnQ2TUlESEJqcmtrWUJZaU9PcmI1ZFpiZlg4eW5jMXN0MXl1U0UxQllKMUJoQzVSWnFsZERtY0lYa05nMUp0Z1RwOExOQzZKNWV1NGtTWjhLbjZBMXhKWGtqSENxaGkwb2pkb1FQVnc?oc=5,2025-10-29 06:43:19
ICICIBANK.NS,Google News,"ICICI Bank Sees 17.79% Surge in Open Interest, Reaching 303,235 Contracts - Markets Mojo",https://news.google.com/rss/articles/CBMixgFBVV95cUxOQVdtVmxuNnV1VDFoczdRa0dmeHJYcV94RnBGYV9vN2FFTjdSWFFSbGVja0ZmOVlxbmhoYS1sNnRHODE2YzlhX2tGTVZKZ2R6QUxXOFNxOGZuOXU3WUZrSlhxMkZFQ1RDVzdjZ0Jpb2JpdXBMVnRGbVFqSk1BZjBMZEpYa3RxVDM3NHpiLVpHbE1pTHJ4a0JtZG42VEZuQ0dJaGFkbDZ0dEdOQjFvU01PTk5OWnozYXpNVlM1c3I4UUllUE1nQVE?oc=5,2025-10-29 07:56:14
ICICIBANK.NS,Google News,ICICI Bank Sees 17.79% Surge in Open Interest Amid Increased Futures Activity - Markets Mojo,https://news.google.com/rss/articles/CBMizgFBVV95cUxOUmpUNTZCSnZQT25veFh1Q0xOVmdEMGlGMFpOTF9UQWdfQnBzRm1KM2ZMSXF6YzIwc1NhUGVhc2RyaUktWGYxTXVEZTVlMnFSZE05MDdxX3V4Ylc3NHQxRDdqczJqMk05TDgyYlBzWXZhVldHSkloVHgxY2VmUXhpczRCNTBpZ2xUSmZjZXVKS1JTX3J0MmZQWEVYWVF3ZEVlN2ZPQWJHZ0FybFo5VUVNaFdSQll3UGpDRWxfTTVQSVVtSU9FbzNGZGdXVDQ5dw?oc=5,2025-10-29 07:05:02
ICICIBANK.NS,Google News,ICICI Bank Ltd. Ranks Among Most Active Equities with Rs 324.59 Lakhs Traded Today - Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPdWVJMWxOWlpEQ251RVBoUlc3clgzelJLWWZaVHE4bDFFNkdJbUI1SEZFdHRZQjctQVhfNGZ4RDNlWkRIOGV0cVZyUHB6ajhZX3J5WnNiQkt2OWFqUnBZYmk3b3JsdGJyZEx5ZElKOVBYTlBxYnlPVUFFdnRmRlpTNWcxaF9icU5JVk8xTDdUdmpNRDFtOXZiUEloVnl5WW1ibUZNT0Y0NjJyWHJqNkZ6ZWdRX2FLWmtPdnUybEtMOTVwTnR1c2lfQWJpb2ViNWg5N0I0OA?oc=5,2025-10-29 05:22:48
ICICIBANK.NS,Google News,"Intraday Stocks For Today, BUY: PNB, Tata Capital, Chennai Petro, Titan, IDFC First Bank, Graphite India, ICICI Lombard - ET Now",https://news.google.com/rss/articles/CBMi9gFBVV95cUxQQ3BZdFVtVWd2UTk0ZEhiTDVTY3JhQ2toYngwcUxvajRLRC16OW9SQTVoQ19pN3hkZmJkNzRrT2hRaV90UGJ2ZVVDNHlIRVhCV3hXTWs2YkVGRXZVT0ppZjlnZmZZTVJZY2c2UDU4ZWt2cXZLdUJLY0hUVEowd1JrTVlVcllUQmxLc01vMWM3SkFJZF9SM2ZmbWFER3JZNFRfUWxKNkNWbjF4V1Z4TUVyVVI5em1mVm95LXF2VEJBcWI4bUtwNVpzYzVmeDdrbTRTRG96VldacVJ5M3dpTVE5bzZESDBpbjh5YXJwV25STnhhYy1JeHfSAfsBQVVfeXFMTXhTNjdFQ3V0MU9uaTdwZnhUVFl4R0tDRUhNcWFGLWhEUHZMNENQQnhybnR5VHZaMDhsTWllaEh5QXB1UmZoUE9pVldsU2hnbXhOOWdaU1pHZm8wcWJpNlFMdGpzeHN5RTZ5M1U3QUhXakpNYVc1SDFVUzRPZFF1dkN4RzY3a3R0TEZtSEFCbDM2VjBkTnR1UzdLRjI4VzM2WXBYaERla1hWdk5vRlRZUDRrazZFZE02dDBlanJpRTluUnlGb3NOQTV4SmUzUHlBR0pGV19vWWRHM0tUaWVtV1dJbUlCZUw2WXRuc0NHaUl2V2NQZzhmVXBhenc?oc=5,2025-10-29 03:16:17
