Date,Close,High,Low,Open,Volume
,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
2025-07-28,30608.259765625,31415.97080684201,30368.937975634773,30992.17180373432,27460
2025-07-29,30324.06640625,30623.21865622945,30024.91415627055,30608.261043730476,20699
2025-07-30,30503.556640625,30693.01972534938,30139.58808312817,30413.81096891345,18682
2025-07-31,30722.935546875,30932.342118275315,30304.12240407437,30314.09414556962,15010
2025-08-01,30588.31640625,30947.299092680318,30453.69789883863,30902.426256876526,29448
2025-08-04,30558.40234375,31022.088331344836,30034.88590614293,30638.17627709965,91108
2025-08-05,30119.64453125,30792.737067538485,29915.223835043867,30792.737067538485,38269
2025-08-06,30483.61328125,30588.31656533673,30014.94143819513,30214.37626502699,45369
2025-08-07,30568.373046875,30623.21762418957,30094.71533370372,30214.37622966278,13398
2025-08-08,30329.05078125,30847.581322307044,30244.29098126952,30473.64102827552,14155
2025-08-11,30553.416015625,30757.836716773927,30264.235511560666,30348.995314476073,18515
2025-08-12,30324.06640625,30613.246914563464,30269.2218270871,30553.416464567577,19839
2025-08-13,30324.06640625,30648.1480103944,30164.518539594294,30363.953372913926,47546
2025-08-14,30314.09375,30523.500318667764,30144.574146792762,30523.500318667764,34703
2025-08-18,31251.4375,31829.79850031908,30668.090628988513,30912.3982929164,40018
2025-08-19,30817.666015625,31510.702025359973,30553.414875222457,31405.998743313685,44452
2025-08-20,30603.275390625,31136.763573550525,30533.47319846652,30937.32873881201,29464
2025-08-21,30518.515625,30862.540715365136,30314.09491913086,30702.99284736971,12148
2025-08-22,29920.2109375,30712.964401766374,29825.479391455592,30712.964401766374,23082
2025-08-25,29930.181640625,30294.150199639764,29855.393580553475,30064.800148753748,36110
2025-08-26,30024.9140625,30413.81198625872,29596.129172201927,29915.224904516774,27970
2025-08-28,29591.142578125,30069.786164898378,29546.269741864995,30064.80029420282,32689
2025-08-29,29192.2734375,29845.422510140903,29127.45711731426,29710.80399898591,63260
2025-09-01,29785.591796875,29890.295082401342,29222.188403328488,29267.061239982635,37442
2025-09-02,29910.23828125,30069.786143393692,29660.944746650483,29815.506738102184,23155
2025-09-03,29855.39453125,30189.44787687354,29795.564081287575,30014.942397816467,23539
2025-09-04,29860.37890625,30663.1040697007,29760.66149464122,30294.149646748207,25439
2025-09-05,29955.111328125,30014.941776849617,29586.156894323194,30014.941776849617,16653
2025-09-08,30398.853515625,30568.3731186316,29910.238189311855,29915.22405998852,12239
2025-09-09,30104.6875,30573.359349122227,30029.89943896986,30413.811485591257,22879
2025-09-10,29805.53515625,30433.754866803276,29665.930776127047,30214.376555181498,34161
2025-09-11,29745.705078125,30014.942100287044,29541.28437611308,29840.43662295979,20878
2025-09-12,29496.412109375,29850.408941654518,29416.63817534018,29765.649136742522,21104
2025-09-15,29192.2734375,29715.789869769425,29147.400600448334,29715.789869769425,25565
2025-09-16,29491.42578125,29815.50738324176,29346.835528053678,29416.637719251903,40795
