Date,Close,High,Low,Open,Volume
,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS
2024-11-04,203.0607452392578,206.350841139882,201.39086136852495,202.94147215334098,23397597
2024-11-05,203.04087829589844,204.26347293826512,198.9953608704527,202.9414739454404,9979703
2024-11-06,203.508056640625,205.65504809579852,201.57972746149036,205.65504809579852,10938474
2024-11-07,204.77040100097656,206.6490279765094,203.26949236101342,203.9652773210303,9253419
2024-11-08,205.5258331298828,206.6788416808681,203.27942223679364,204.74057820402402,8766446
2024-11-11,206.4800567626953,206.94722992365087,202.67310056117185,206.5496428435493,13015963
2024-11-12,206.0228271484375,208.5077842442749,204.82010124058345,207.03667872331755,8129987
2024-11-13,198.18031311035156,206.1918127628349,197.3751893975947,205.5854825943306,13381335
2024-11-14,195.79473876953125,200.48633906420133,194.82063981719818,198.00138192367586,9354472
2024-11-18,199.04505920410156,199.68120760062172,193.86640205146506,195.814615047231,13133102
2024-11-19,205.40655517578125,209.33279966797804,199.9993010727807,200.78454087103506,22964708
2024-11-21,209.61111450195312,210.16774248780905,202.7725074369229,205.17794418550037,15482528
2024-11-22,208.1101837158203,210.72436345551637,207.12615040466065,210.20748812858957,13076979
2024-11-25,211.5990753173828,212.21533983490002,208.15988796087527,209.7303826939761,18553476
2024-11-26,212.3544921875,212.71232661465223,209.3327910436391,211.59907069327838,8728077
2024-11-27,211.5990753173828,213.14968614660336,209.58129133231057,212.31474418732685,10096152
2024-11-28,209.78009033203125,211.72828828773308,209.13399235838438,211.5990808265838,10970713
2024-11-29,209.51170349121094,210.52557024293895,207.53367216355053,210.22737235513958,7279254
2024-12-02,207.82192993164062,209.91923428958938,205.09841154334075,209.5116976931077,7705204
2024-12-03,208.69664001464844,211.0126066433491,207.8915011884387,210.7243582983907,6355689
2024-12-04,214.14366149902344,214.97860342904218,208.01078931016627,208.6966398837439,12814059
2024-12-05,213.67649841308594,215.694282422389,212.4340198277035,215.09788663461546,5002379
2024-12-06,212.11593627929688,213.90510846087813,209.98881356535438,213.70631492225237,9436594
2024-12-09,212.4837188720703,213.87528880039406,211.03249723226864,212.76203285773505,4922985
2024-12-10,213.05027770996094,213.50751648859446,211.24123683287488,212.59305409830188,3626922
2024-12-11,213.3882293701172,214.1734843092802,212.71232831729412,212.71232831729412,3817336
2024-12-12,211.4002685546875,214.40210105525466,211.07226755600993,213.3882342856903,4299148
2024-12-13,211.867431640625,212.21533169379794,208.43819395109898,210.9231509966938,4333300
2024-12-16,212.11593627929688,213.14968694731039,211.22135777199364,211.867440564271,4806881
2024-12-17,209.02464294433594,212.41412803952755,208.5972376069761,211.91713662382114,4722997
2024-12-18,198.82638549804688,209.73037842376854,197.3055929721235,209.02464393664636,14942335
2024-12-19,199.7408447265625,200.5857361906946,193.53840163411203,195.81461561936598,8834477
2024-12-20,193.2899169921875,200.08875623280892,189.40344030189138,199.1941625430587,10057259
2024-12-23,195.83450317382812,196.63962684664997,193.70738050518509,193.82665359242552,8006446
2024-12-24,195.5363006591797,196.63962219095453,193.67755764781023,195.83449853719503,7118698
2024-12-26,196.4905242919922,198.1902416543945,195.33751570242356,196.51040819592563,7075411
2024-12-27,195.54624938964844,198.40892496169403,195.12877839655434,196.26191828265982,4451218
2024-12-30,199.8402557373047,201.92761062955068,194.3733500428431,196.31161357384818,48698861
2024-12-31,198.8164520263672,199.29355954310904,195.1188346459251,195.317628180653,8032394
2025-01-01,199.30349731445312,199.76073610241156,196.68933271254483,199.19415859343968,4148526
2025-01-02,204.89962768554688,205.3568664780341,198.35921859781394,199.29356491991504,9827756
2025-01-03,204.01498413085938,205.9830659673176,203.45835615020252,203.76648841328222,5485629
2025-01-06,196.3414306640625,204.40263216440766,194.48268759256763,204.06468163631305,7247076
2025-01-07,196.1227569580078,199.28363036023399,195.63571506029763,196.75890538587456,6619585
2025-01-08,194.3236541748047,196.4110243017845,190.94411842985903,196.16252858033332,8162449
2025-01-09,192.2760467529297,194.82064044632904,191.0435025471379,194.32364901661902,6131064
2025-01-10,187.962158203125,192.4350809139315,185.93442474738714,192.4350809139315,7899382
2025-01-13,186.59046936035156,187.36577480134392,184.59256921117512,185.39769292551523,7575227
2025-01-14,191.40133666992188,193.110988398684,187.47510741503413,187.86276012289443,5224795
2025-01-15,192.97183227539062,195.01943454496117,191.83869241907612,193.32966671248863,4521543
2025-01-16,194.24412536621094,196.64956202632303,193.80677048855884,194.82063723520923,5711244
2025-01-17,190.42723083496094,194.8007491844238,190.11909858689538,194.72122873863685,8047952
2025-01-20,192.86248779296875,193.87635452895753,189.5525231404262,192.2760415618179,5380998
2025-01-21,191.19261169433594,193.81672587245924,190.09922446721166,193.81672587245924,4833705
2025-01-22,188.95614624023438,192.2760453259853,185.40762017829172,192.037483981384,9163217
2025-01-23,189.60223388671875,191.2820673764416,188.4591596443621,188.9561510831215,3960511
2025-01-24,186.97811889648438,190.72543857544494,186.17299519585603,190.1787449617544,7657794
2025-01-27,189.98988342285156,192.93207936453962,184.48322504701838,184.90069602855306,14535640
2025-01-28,182.99224853515625,186.76937122710504,177.01840190686457,186.76937122710504,43454549
2025-01-29,185.05972290039062,186.65010155440189,180.51722908496674,182.44555827368856,10013432
2025-01-30,183.84707641601562,186.09347221897863,183.09163973572868,185.07960545526313,14297599
2025-01-31,186.0835418701172,187.14709566621525,183.46936203902806,184.14526311812213,5772412
2025-02-01,182.9822998046875,187.8031227094756,181.40187070818055,187.10733774563369,4749102
2025-02-03,179.47354125976562,182.19705973328456,178.91691328958066,181.898861844407,3886494
2025-02-04,180.13951110839844,182.78350918010463,179.41390786075613,180.80547781061466,5216085
2025-02-05,182.7636260986328,183.97628641767156,180.89494860997925,180.89494860997925,4286422
2025-02-06,182.51512145996094,184.8808054367228,181.70999779848464,184.23472266730892,3983013
2025-02-07,187.0079345703125,188.37963576978592,181.2527804875638,183.09163967736208,7298157
